id,texto,tema,sentimiento
1,la generacion z es percibida como una generacion ansiosa con fuerte dependencia a pantallas y redes sociales y con dificultad para realizar tareas basicas de la vida cotidiana,crisis de sentido generacion z hiperconectividad,negativo
2,se critica que la generacion z permanezca en el plano de las ideas y la expresion digital pero experimente ansiedad al manifestarse o participar en el espacio publico fisico,crisis de sentido generacion z hiperconectividad,negativo
3,la generacion z es descrita como vulnerable emocionalmente con altos niveles de ansiedad y depresion y con una forma de razonamiento limitada por el consumo de memes y redes sociales,crisis de sentido generacion z hiperconectividad,negativo
4,una generacion completa ha sido utilizada como experimento digital expuesta a pantallas desde la infancia con consecuencias en el desarrollo cognitivo emocional y en la capacidad de empatia y atencion profunda,crisis de sentido generacion z hiperconectividad,negativo
5,la hiperconectividad y el uso intensivo de plataformas digitales han definido la identidad y la experiencia vital de la generacion z en la actualidad,crisis de sentido generacion z hiperconectividad,neutral
6,las personas que viven principalmente en entornos virtuales tienden a desvincularse del entorno fisico lo que afecta sus habilidades sociales su capacidad resolutiva y su relacion con la realidad,crisis de sentido generacion z hiperconectividad,negativo
7,el uso excesivo de tecnologias y el scrolling infinito han deteriorado la capacidad de atencion en los jovenes haciendo necesaria la reflexion filosofica para distinguir lo esencial de lo superfluo,crisis de sentido generacion z hiperconectividad,negativo
8,pese a contar con mas informacion y canales de expresion que nunca la hiperconectividad ha contribuido a un debate publico mas toxico y a sociedades cada vez mas fragmentadas,crisis de sentido generacion z hiperconectividad,negativo
9,la inteligencia artificial puede provocar una perdida de autonomia humana al separar a las personas del control directo sobre su trabajo y decisiones,perdida de autonomia por ia y algoritmos,negativo
10,estudios contemporaneos muestran que la inteligencia artificial restringe la experiencia humana al reducir habilidades cognitivas emocionales y la capacidad de expresion,perdida de autonomia por ia y algoritmos,negativo
11,la dependencia excesiva de la inteligencia artificial amenaza el pensamiento critico y la autonomia cognitiva si no se mantiene una supervision y responsabilidad humana,perdida de autonomia por ia y algoritmos,negativo
12,cuando la inteligencia artificial reemplaza el esfuerzo de comprender el cerebro reduce su actividad se debilita la memoria y la atencion se fragmenta,perdida de autonomia por ia y algoritmos,negativo
13,la inteligencia artificial esta influyendo en la infancia al crear entornos personalizados que pueden formar adultos competentes pero emocionalmente fragiles,perdida de autonomia por ia y algoritmos,negativo
14,el uso de chatgpt y otras ia en la universidad ha puesto en riesgo el pensamiento critico cuando los estudiantes delegan su razonamiento en algoritmos,perdida de autonomia por ia y algoritmos,negativo
15,una generacion entera usada como experimento digital pantallas desde la cuna redes sin filtro hiperestimulacion constante y ahora se observan consecuencias como retrasos en el desarrollo cognitivo y emocional incapacidad para sostener la atencion falta de empatia y dificultad para gestionar la frustracion,crisis de sentido generacion z hiperconectividad,negativo
16,las redes sociales prometieron conexion pero terminaron siendo comparacion creadas para compartir se volvieron espacios para exhibir vidas editadas y felicidades filtradas,crisis de sentido generacion z hiperconectividad,negativo
17,estudios sobre la generacion z muestran que crecer con redes sociales se asocia con mayor aislamiento y depresion aunque con menor consumo de drogas y mayor esfuerzo academico,crisis de sentido generacion z hiperconectividad,negativo
18,las personas que viven mas en redes que en la vida real se desvinculan del entorno fisico y no logran metabolizar los fenomenos de su contexto perdiendo habilidades sociales y resolutivas,crisis de sentido generacion z hiperconectividad,negativo
19,el uso excesivo de tecnologias ha reducido la capacidad de atencion el scrolling infinito se convierte en una forma de existir debilitando el juicio critico y la reflexion filosofica,crisis de sentido generacion z hiperconectividad,negativo
20,la generacion z vive acelerada fragmentada y ansiosa entre la multitarea y la falta de coherencia interna lo que la vuelve vulnerable al hiperconsumo y al individualismo extremo,crisis de sentido generacion z hiperconectividad,negativo
21,la hiperconectividad a traves de plataformas ia y redes sociales ha definido la experiencia vital de la generacion z en los ultimos anos,crisis de sentido generacion z hiperconectividad,neutral
22,el scroll infinito esta disenado para anular la percepcion del tiempo y los jovenes de la generacion z pasan entre cuatro y seis horas diarias en redes sociales,crisis de sentido generacion z hiperconectividad,negativo
23,la generacion z ha vivido siempre en el ciberespacio y ahora enfrenta la dificultad de habitar la historia real sin poder extender indefinidamente la infancia,crisis de sentido generacion z hiperconectividad,negativo
24,el uso excesivo de redes y pantallas desde la infancia esta volviendo a la sociedad hiperfragil en muy poco tiempo,crisis de sentido generacion z hiperconectividad,negativo
25,la infancia basada en juego y exploracion fue reemplazada por una infancia de pantallas hiperconectada y vigilada asociada a ansiedad depresion y autolesiones,crisis de sentido generacion z hiperconectividad,negativo
26,la generacion z presenta alta incidencia de ansiedad depresion y aislamiento vinculados al uso intensivo de redes sociales,crisis de sentido generacion z hiperconectividad,negativo
27,la hostilidad y los insultos en redes dificultan la expresion autentica de gustos y provocan que las nuevas generaciones eviten estos espacios,crisis de sentido generacion z hiperconectividad,negativo
28,las redes sociales se han convertido en un espacio de desgaste emocional constante y los vinculos sociales eran percibidos como mas organicos en el pasado,crisis de sentido generacion z hiperconectividad,negativo
29,estudios sobre inteligencia artificial muestran que esta restringe la autonomia humana reduce habilidades cognitivas y emocionales y limita la expresion personal,perdida de autonomia humana por algoritmos e ia,negativo
30,la dependencia excesiva de la inteligencia artificial perjudica el pensamiento critico y disminuye la autonomia cognitiva humana,perdida de autonomia humana por algoritmos e ia,negativo
31,cuando la inteligencia artificial reemplaza el esfuerzo de comprender el cerebro reduce su actividad la memoria se debilita y la atencion se fragmenta,perdida de autonomia humana por algoritmos e ia,negativo
32,la inteligencia artificial esta reescribiendo la infancia creando generaciones acompanadas por algoritmos que producen adultos brillantes pero fragiles,perdida de autonomia humana por algoritmos e ia,negativo
33,el uso de chatgpt y otras ia en la universidad ha puesto en riesgo el pensamiento critico al delegar el razonamiento humano en algoritmos,perdida de autonomia humana por algoritmos e ia,negativo
34,los algoritmos de la inteligencia artificial no son neutrales amplifican prejuicios perpetuan desigualdades y toman decisiones sin transparencia,perdida de autonomia humana por algoritmos e ia,negativo
35,delegar el razonamiento a la inteligencia artificial provoca perdida de responsabilidad anticipacion y memoria y representa un riesgo de colapso tecnico,perdida de autonomia humana por algoritmos e ia,negativo
36,la inteligencia artificial representa una nueva fase de control total al servir para vigilar clasificar y moldear a la sociedad,perdida de autonomia humana por algoritmos e ia,negativo
37,el principal riesgo de la inteligencia artificial es la concentracion de poder rentabilidad y control en pocas empresas,perdida de autonomia humana por algoritmos e ia,negativo
38,la inteligencia artificial permite por primera vez satisfacer necesidades humanas con un minimo esfuerzo lo que transforma radicalmente el trabajo y la organizacion social,perdida de autonomia humana por algoritmos e ia,neutral
39,el desarrollo de la inteligencia artificial requiere reglas humanas basadas en transparencia equidad y control humano,perdida de autonomia humana por algoritmos e ia,neutral
40,una generacion entera usada como experimento digital pantallas desde la cuna redes sin filtro hiperestimulacion constante y consecuencias como retrasos cognitivos emocionales falta de atencion empatia y dificultad para gestionar la frustracion,crisis de sentido generacion z hiperconectividad,negativo
41,las redes sociales prometieron conexion pero se transformaron en comparacion y exhibicion de vidas editadas y felicidades filtradas,crisis de sentido generacion z hiperconectividad,negativo
42,crecer con redes sociales en la generacion z se asocia con mayor aislamiento y depresion aunque con menor drogadiccion y mayor esfuerzo academico,crisis de sentido generacion z hiperconectividad,negativo
43,quienes viven mas en redes que en la vida fisica se desvinculan del entorno real y pierden habilidades sociales y resolutivas,crisis de sentido generacion z hiperconectividad,negativo
44,el uso excesivo de tecnologia reduce la capacidad de atencion y el scrolling infinito se convierte en una forma de existir debilitando el juicio critico,crisis de sentido generacion z hiperconectividad,negativo
45,la generacion z vive acelerada fragmentada ansiosa y con falta de coherencia interna lo que la vuelve vulnerable al hiperconsumo y al individualismo extremo,crisis de sentido generacion z hiperconectividad,negativo
46,la hiperconectividad mediante plataformas ia y redes sociales ha definido profundamente la experiencia vital de la generacion z,crisis de sentido generacion z hiperconectividad,neutral
47,la generacion z ha estado inmersa en el ciberespacio desde la infancia y ahora enfrenta la dificultad de habitar la realidad historica,crisis de sentido generacion z hiperconectividad,negativo
48,el uso excesivo de redes y pantallas desde la infancia esta generando una sociedad cada vez mas hiperfragil,crisis de sentido generacion z hiperconectividad,negativo
49,el cambio estructural de la infancia hacia pantallas hiperconectadas y vigiladas coincide con aumentos de ansiedad depresion y autolesiones,crisis de sentido generacion z hiperconectividad,negativo
50,el uso intensivo de redes sociales en la generacion z se asocia con altos niveles de ansiedad depresion y aislamiento,crisis de sentido generacion z hiperconectividad,negativo
51,la agresividad y los insultos en redes dificultan la expresion autentica y provocan que los jovenes eviten estos espacios,crisis de sentido generacion z hiperconectividad,negativo
52,las redes sociales se han convertido en un espacio de desgaste emocional y los vinculos sociales eran percibidos como mas organicos anteriormente,crisis de sentido generacion z hiperconectividad,negativo
53,la generacion z es percibida como la mas solitaria a pesar de agendas llenas chats activos y redes saturadas de contactos,crisis de sentido generacion z hiperconectividad,negativo
54,las redes sociales estan precarizando cognitivamente a las personas limitando su capacidad de pensar mas alla de lo que los algoritmos muestran,crisis de sentido generacion z hiperconectividad,negativo
55,estudios sobre inteligencia artificial muestran que restringe la autonomia humana y reduce habilidades cognitivas emocionales y expresivas,perdida de autonomia humana por algoritmos e ia,negativo
56,la dependencia excesiva de la inteligencia artificial perjudica el pensamiento critico y disminuye la autonomia cognitiva,perdida de autonomia humana por algoritmos e ia,negativo
57,cuando la ia reemplaza el esfuerzo de comprender el cerebro reduce su actividad la memoria se debilita y la atencion se fragmenta,perdida de autonomia humana por algoritmos e ia,negativo
58,la inteligencia artificial esta reescribiendo la infancia creando generaciones acompanadas por algoritmos que producen adultos fragiles,perdida de autonomia humana por algoritmos e ia,negativo
